"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SFN","SFN",1226.37508634347,0.254366514487234,0.402495684193287,0.631973271954592,0.527404342566442,0.699945200498248
"SFPQ","SFPQ",2686.95701746492,-1.22175850842717,0.479680270372983,-2.54702680908092,0.0108645086248401,0.057383405388463
"SFR1","SFR1",674.025948903984,1.43301646645657,0.976071106862534,1.46814761381764,0.142064130465562,0.307501657045792
"SFSWAP","SFSWAP",588.832870921088,-2.03755190498328,0.763490273983775,-2.66873328241844,0.00761378847169214,0.0444789578220836
"SFT2D1","SFT2D1",809.835969988008,0.43380679643947,0.681111324540674,0.636910268276657,0.524183293913892,0.697731925422931
"SFT2D2","SFT2D2",1188.81953913511,0.469341655922444,0.416234198155376,1.1275903277588,0.259492973387676,0.44967541956572
"SFTA2","SFTA2",1193.88500391338,0.179889913324522,0.710866968351016,0.253057071623133,0.800224111249248,0.888269957466153
"SFTPA1","SFTPA1",2.76095136200462,-4.03782623847122,3.91605774212994,-1.03109466314331,0.302496430249432,0.493186936827419
"SFTPA2","SFTPA2",82.8557616196396,-4.62353748446602,0.866205242431868,-5.33769279840128,9.41367801609961e-08,6.70336130185268e-06
"SFXN1","SFXN1",1151.64312764974,0.823133992832212,0.428100102246733,1.92276056116848,0.0545101272066419,0.166568645170542
"SFXN2","SFXN2",93.4157138164563,-0.270884293881283,0.61832657898327,-0.438092592310532,0.661319164072935,0.794243558030611
"SFXN3","SFXN3",666.531029249074,-1.41401189776108,0.587639076448136,-2.40625913836054,0.016116827859,0.0750770872860179
"SFXN4","SFXN4",418.699075042614,0.763612808135627,0.637510971730802,1.19780339789677,0.230993564089583,0.418223227799321
"SFXN5","SFXN5",75.4879428810727,-0.712096137322339,1.18629640178544,-0.600268310896498,0.548327434311097,0.714344548209002
"SGCB","SGCB",676.22035439689,0.455255680714176,0.563453369200584,0.807974014531289,0.419105541314262,0.608984995371863
"SGCE","SGCE",509.798592666914,-1.06222787295914,1.13708860572646,-0.934164556402799,0.350219015652153,0.543152575277268
"SGK1","SGK1",401.546487295743,0.20667408308472,0.519249947652582,0.39802427331779,0.690612293284881,0.815273759069365
"SGK196","SGK196",300.160508067266,-0.794948997744921,0.556410613502429,-1.42870926336392,0.153087814225156,0.322789298098148
"SGK2","SGK2",221.28636156612,0.135134259661647,0.757045716909811,0.178502112413042,0.85832866237254,0.924164940424456
"SGK223","SGK223",608.875364866394,-3.22817712682856,0.766933339150341,-4.20920171550365,2.56274521463905e-05,0.000663014277840215
"SGK3","SGK3",332.156474793956,0.729416032740829,0.460152130751713,1.58516278420626,0.11292935370083,0.266842894561449
